Model settings:
Alpha = 1, Features encoder depth = 33, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    train_loss       valid_loss     dur
     52        [36m1.0523[0m        1.2953  2.2377
     53        1.0525        1.5636  2.2367
     54        1.0557        1.2391  2.2409
     55        [36m1.0466[0m        1.0238  2.2423
     56        1.0655        1.0616  2.2418
     57        1.0580        1.4890  2.2337
     58        1.0649        1.0979  2.2448
     59        [36m1.0452[0m        [32m0.9630[0m  2.2450
     60        1.0544        1.0086  2.2393
     61        1.0485        1.0799  2.2407
     62        1.0510        1.2697  2.2383
     63        1.0477        1.1691  2.2413
     64        1.0461        1.1649  2.2421
     65        [36m1.0331[0m        1.2772  2.2415
     66        1.0353        1.3394  2.2389
     67        [36m1.0256[0m        0.9795  2.2434
     68        1.0341        0.9660  2.2497
     69        1.0282        1.0843  2.2477
     70        1.0379        0.9727  2.2429
     71        1.0294        1.1325  2.2435
     72        [36m1.0244[0m        1.0686  2.2413
     73        1.0321        1.0547  2.2428
     74        [36m1.0179[0m        1.0342  2.2393
     75        1.0278        [32m0.9527[0m  2.2429
     76        [36m1.0080[0m        0.9840  2.2416
     77        1.0330        1.0863  2.2447
     78        1.0186        1.0204  2.2421
     79        1.0154        1.0103  2.2419
     80        1.0273        0.9669  2.2398
     81        1.0185        0.9802  2.2463
     82        1.0145        1.1283  2.2404
     83        1.0178        [32m0.9461[0m  2.2440
     84        [36m1.0060[0m        1.0131  2.2351
     85        1.0092        [32m0.9431[0m  2.2373
     86        1.0204        0.9847  2.2536
     87        1.0173        1.0294  2.2464
     88        1.0117        0.9834  2.2433
     89        [36m0.9927[0m        1.0312  2.2407
     90        1.0172        0.9593  2.2457
     91        1.0004        1.0163  2.2433
     92        [36m0.9867[0m        0.9558  2.2458
     93        1.0022        1.0955  2.2442
     94        0.9934        [32m0.9385[0m  2.2391
     95        0.9946        1.0327  2.2458
     96        1.0039        0.9959  2.2430
     97        1.0070        0.9399  2.2408
     98        1.0175        1.0430  2.2430
     99        0.9941        0.9844  2.2422
    100        0.9987        1.1028  2.2440
    101        0.9969        0.9685  2.2404
    102        0.9897        [32m0.9290[0m  2.2474
    103        0.9977        1.0306  2.2426
    104        0.9956        0.9636  2.2441
    105        0.9947        0.9451  2.2440
    106        0.9957        1.0246  2.2471
    107        0.9929        0.9477  2.2401
    108        1.0088        0.9379  2.2440
    109        [36m0.9840[0m        1.0776  2.2424
    110        0.9880        [32m0.9198[0m  2.2436
    111        [36m0.9819[0m        0.9216  2.2445
    112        0.9893        1.0218  2.2420
    113        0.9981        0.9536  2.2420
    114        0.9973        0.9798  2.2542
    115        0.9944        1.0873  2.2473
    116        0.9864        1.0768  2.2450
    117        [36m0.9746[0m        1.0457  2.2413
    118        0.9979        [32m0.8992[0m  2.2461
    119        [36m0.9706[0m        1.0487  2.2433
    120        0.9873        0.9842  2.2385
    121        0.9813        0.9317  2.2423
    122        0.9836        0.9696  2.2428
    123        0.9836        0.9704  2.2500
    124        0.9753        0.9012  2.2478
    125        0.9883        [32m0.8906[0m  2.2422
    126        0.9811        0.9473  2.2372
    127        0.9802        0.9538  2.2449
    128        [36m0.9693[0m        [32m0.8831[0m  2.2416
    129        0.9760        0.9035  2.2421
    130        0.9723        0.9169  2.2443
    131        0.9840        0.9107  2.2423
    132        0.9796        0.8922  2.2435
    133        0.9721        0.9022  2.2412
    134        [36m0.9648[0m        0.9985  2.2409
    135        0.9791        0.9011  2.2391
    136        0.9730        [32m0.8823[0m  2.2460
    137        0.9686        0.8953  2.2460
    138        0.9769        0.8880  2.2439
    139        [36m0.9641[0m        0.9167  2.2397
    140        0.9700        0.9052  2.2391
    141        0.9713        0.9061  2.2454
    142        0.9658        1.1500  2.2486
    143        [36m0.9544[0m        0.9176  2.2477
    144        0.9647        0.9099  2.2432
    145        0.9639        0.9076  2.2484
    146        0.9552        [32m0.8719[0m  2.2422
    147        0.9611        0.9279  2.2425
    148        [36m0.9465[0m        0.9756  2.2447
    149        0.9474        0.8843  2.2450
    150        [36m0.9393[0m        [32m0.8618[0m  2.2459
    151        0.9559        0.8720  2.2411
    152        0.9486        0.8676  2.2461
    153        0.9396        0.8845  2.2426
    154        0.9472        [32m0.8506[0m  2.2465
    155        0.9582        0.8934  2.2427
    156        0.9450        0.8715  2.2423
    157        0.9438        0.8611  2.2491
    158        [36m0.9386[0m        1.1426  2.2485
    159        0.9435        0.8535  2.2434
    160        [36m0.9352[0m        0.8667  2.2432
    161        0.9356        [32m0.8293[0m  2.2453
    162        0.9365        0.8377  2.2430
    163        [36m0.9160[0m        0.8373  2.2441
    164        0.9322        [32m0.8207[0m  2.2437
    165        0.9273        0.8312  2.2412
    166        0.9288        0.8294  2.2480
    167        0.9239        [32m0.8155[0m  2.2433
    168        0.9342        0.8177  2.2426
    169        0.9447        0.8271  2.2427
    170        0.9519        0.8560  2.2396
    171        0.9344        0.8482  2.2447
    172        0.9324        0.9026  2.2462
    173        0.9534        0.8394  2.2526
    174        0.9223        0.8293  2.2448
    175        0.9229        0.8205  2.2455
    176        0.9209        0.8711  2.2446
    177        0.9227        [32m0.8109[0m  2.2445
    178        0.9305        0.8262  2.2436
    179        0.9250        0.8291  2.2436
    180        [36m0.9136[0m        0.8237  2.2440
    181        0.9288        1.0679  2.2470
    182        0.9241        0.8833  2.2417
    183        0.9307        0.8477  2.2452
    184        0.9268        0.9002  2.2448
    185        0.9271        [32m0.8054[0m  2.2444
    186        0.9312        0.9147  2.2459
    187        0.9227        0.8074  2.2501
    188        [36m0.9072[0m        0.8278  2.2456
    189        0.9138        0.9655  2.2437
    190        0.9139        0.8261  2.2432
    191        0.9229        0.8274  2.2498
    192        [36m0.9069[0m        [32m0.7967[0m  2.2446
    193        0.9189        0.8474  2.2452
    194        0.9214        [32m0.7962[0m  2.2450
    195        0.9166        [32m0.7872[0m  2.2408
    196        0.9088        0.8304  2.2389
    197        [36m0.8957[0m        0.8573  2.2426
    198        0.9058        0.8630  2.2450
    199        0.9200        0.8073  2.2423
    200        0.8999        0.8001  2.2410
    201        0.9037        0.8274  2.2527
    202        0.9113        0.8568  2.2504
    203        0.9058        0.7925  2.2448
    204        0.9033        0.8793  2.2447
    205        0.9178        0.8035  2.2435
    206        0.8984        0.8238  2.2485
    207        0.9021        0.7971  2.2441
    208        0.9062        [32m0.7843[0m  2.2438
    209        [36m0.8941[0m        [32m0.7836[0m  2.2434
    210        0.8942        [32m0.7763[0m  2.2485
    211        0.9132        0.7981  2.2454
    212        0.9053        1.0422  2.2418
    213        0.9090        0.8144  2.2423
    214        0.9174        0.7957  2.2450
    215        0.8990        0.7906  2.2507
    216        [36m0.8912[0m        0.7932  2.2434
    217        0.8936        0.8034  2.2442
    218        0.9009        0.8063  2.2433
    219        0.9002        0.8623  2.2458
    220        0.9005        0.9676  2.2421
    221        0.8947        0.8934  2.2407
    222        0.9116        0.7897  2.2445
    223        0.9052        0.8529  2.2443
    224        0.8954        0.7791  2.2463
    225        [36m0.8878[0m        0.7787  2.2433
    226        0.8900        0.7922  2.2443
    227        0.8969        0.7948  2.2452
    228        [36m0.8838[0m        [32m0.7739[0m  2.2450
    229        0.8960        0.7812  2.2534
    230        0.8938        [32m0.7646[0m  2.2437
    231        0.8963        0.7743  2.2433
    232        0.8888        [32m0.7641[0m  2.2440
    233        0.8869        0.7767  2.2474
    234        0.8987        0.7994  2.2425
    235        0.8882        0.7737  2.2452
    236        0.8853        0.7652  2.2417
    237        0.8925        0.8525  2.2448
    238        0.8909        0.8053  2.2433
    239        0.8933        0.7755  2.2432
    240        0.8999        0.7774  2.2464
    241        0.9012        0.7968  2.2423
    242        0.8892        0.7760  2.2459
    243        0.8897        0.7980  2.2415
    244        0.8950        0.8047  2.2459
    245        0.9000        0.8204  2.2405
    246        0.8839        0.7761  2.2424
    247        0.8890        0.7787  2.2456
    248        [36m0.8822[0m        0.7934  2.2446
    249        0.8913        0.7737  2.2464
    250        0.8878        0.7738  2.2407
    251        [36m0.8767[0m        0.7994  2.2406
    252        0.8881        0.7814  2.2478
    253        0.9054        [32m0.7559[0m  2.2469
    254        0.8878        0.7847  2.2458
    255        0.8814        0.7694  2.2418
    256        0.8848        0.7973  2.2377
    257        0.8793        0.8179  2.2508
    258        0.8900        0.8512  2.2496
    259        0.8826        0.7670  2.2466
    260        0.8876        0.7768  2.2408
    261        0.8816        0.7692  2.2411
    262        [36m0.8767[0m        0.7755  2.2451
    263        0.8928        0.8258  2.2446
    264        [36m0.8735[0m        0.7604  2.2411
    265        0.8882        0.7929  2.2448
    266        0.8804        0.7711  2.2488
    267        0.8801        0.7624  2.2434
    268        0.8841        0.7849  2.2422
    269        0.8860        0.8171  2.2508
    270        0.8880        0.7672  2.2478
    271        0.8892        0.7562  2.2501
    272        0.8786        0.7683  2.2464
    273        0.8805        0.7966  2.2458
    274        0.8776        0.7708  2.2470
    275        0.8741        0.7850  2.2504
    276        0.8846        0.7892  2.2439
    277        0.8796        0.8128  2.2429
    278        0.8792        [32m0.7544[0m  2.2460
    279        0.8811        0.7683  2.2513
    280        0.8824        0.7629  2.2488
    281        [36m0.8718[0m        0.7592  2.2464
    282        0.8736        0.7639  2.2542
    283        0.8799        0.7693  2.2508
    284        0.8722        0.7600  2.2477
    285        0.8816        0.7782  2.2534
    286        [36m0.8702[0m        0.7735  2.2487
    287        0.8741        0.8023  2.2460
    288        [36m0.8693[0m        0.7767  2.2471
    289        0.8740        0.8192  2.2438
    290        0.8808        0.7569  2.2459
    291        0.8768        0.7546  2.2412
    292        0.8708        0.7593  2.2482
    293        [36m0.8662[0m        0.7568  2.2454
    294        0.8772        0.7998  2.2487
    295        0.8874        0.7601  2.2446
    296        0.8678        0.7677  2.2409
    297        0.8735        0.7615  2.2542
    298        0.8671        [32m0.7531[0m  2.2459
    299        [36m0.8646[0m        0.7731  2.2457
    300        0.8790        0.7620  2.2450
    301        0.8699        0.7617  2.2435
    302        0.8702        [32m0.7519[0m  2.2483
    303        [36m0.8631[0m        [32m0.7502[0m  2.2507
    304        0.8662        0.8125  2.2471
    305        0.8746        0.7844  2.2472
    306        0.8664        0.7564  2.2505
    307        [36m0.8614[0m        0.7522  2.2467
    308        0.8700        0.7835  2.2457
    309        0.8639        0.7631  2.2487
    310        0.8665        0.7517  2.2469
    311        0.8673        0.7557  2.2474
    312        0.8735        [32m0.7429[0m  2.2422
    313        0.8706        0.7523  2.2510
    314        0.8707        0.7680  2.2577
    315        [36m0.8607[0m        0.7594  2.2484
    316        0.8674        0.7564  2.2523
    317        0.8695        0.7623  2.2422
    318        0.8778        0.7494  2.2424
    319        0.8635        0.7457  2.2513
    320        0.8702        0.7479  2.2467
    321        0.8794        0.7509  2.2457
    322        0.8715        0.7582  2.2408
    323        0.8651        0.7705  2.2484
    324        [36m0.8582[0m        0.7495  2.2448
    325        0.8666        0.7611  2.2430
    326        0.8675        0.7741  2.2510
    327        0.8662        0.7812  2.2483
    328        0.8664        0.7675  2.2477
    329        0.8648        0.8126  2.2447
    330        0.8678        0.7577  2.2470
    331        0.8612        0.7615  2.2488
    332        0.8609        0.7435  2.2531
    333        0.8616        0.7541  2.2523
    334        0.8692        0.7569  2.2433
    335        0.8623        0.7750  2.2507
    336        [36m0.8555[0m        0.7681  2.2480
    337        [36m0.8532[0m        0.7492  2.2468
    338        0.8636        0.7484  2.2421
    339        [36m0.8493[0m        [32m0.7419[0m  2.2473
    340        0.8753        0.7612  2.2489
    341        0.8637        0.7697  2.2520
    342        0.8676        0.7539  2.2509
    343        0.8517        0.7909  2.2448
    344        0.8673        0.7609  2.2465
    345        0.8656        0.7684  2.2450
    346        0.8633        0.7600  2.2453
    347        0.8604        0.9074  2.2431
    348        0.8606        0.8475  2.2561
    349        0.8543        [32m0.7417[0m  2.2514
    350        0.8647        [32m0.7373[0m  2.2470
    351        0.8677        0.7594  2.2421
    352        0.8610        0.7537  2.2461
    353        0.8544        0.7465  2.2447
    354        0.8590        0.7474  2.2421
    355        0.8561        0.7645  2.2444
    356        0.8557        0.7457  2.2476
    357        0.8656        0.7501  2.2478
    358        0.8649        0.7591  2.2444
    359        0.8675        0.7397  2.2455
    360        0.8589        0.7449  2.2499
    361        0.8601        0.7528  2.2440
    362        0.8565        0.7431  2.2446
    363        0.8571        0.7395  2.2422
    364        0.8507        0.7440  2.2471
    365        0.8625        0.7377  2.2462
    366        0.8692        0.7396  2.2442
    367        0.8656        [32m0.7336[0m  2.2456
    368        0.8600        0.7508  2.2457
    369        0.8515        0.7355  2.2521
    370        0.8701        0.7378  2.2559
    371        0.8522        0.7396  2.2459
    372        0.8554        0.7467  2.2447
    373        0.8637        0.7642  2.2438
    374        0.8629        0.7615  2.2465
    375        0.8632        [32m0.7265[0m  2.2472
    376        0.8572        0.8255  2.2448
    377        [36m0.8472[0m        0.7445  2.2456
    378        0.8555        0.7400  2.2461
    379        0.8592        0.7769  2.2498
    380        0.8505        0.8161  2.2448
    381        0.8495        0.7457  2.2433
    382        0.8517        0.7304  2.2433
    383        [36m0.8443[0m        0.7437  2.2400
    384        0.8583        0.7329  2.2474
    385        0.8481        0.7509  2.2449
    386        0.8557        [32m0.7252[0m  2.2462
    387        0.8480        0.7284  2.2468
    388        0.8524        0.7566  2.2467
    389        0.8542        0.7434  2.2472
    390        0.8563        0.7374  2.2461
    391        0.8534        0.7641  2.2503
    392        0.8454        0.7811  2.2448
    393        0.8532        0.7613  2.2516
    394        0.8553        0.7495  2.2475
    395        [36m0.8420[0m        0.7466  2.2484
    396        0.8441        0.7296  2.2446
    397        0.8454        0.7521  2.2518
    398        0.8495        0.7297  2.2555
    399        0.8557        0.7331  2.2460
    400        0.8540        0.7527  2.2463
    401        0.8444        0.7968  2.2445
    402        0.8423        0.7391  2.2494
    403        0.8516        0.7776  2.2486
    404        0.8494        0.7334  2.2453
    405        0.8434        0.7321  2.2472
    406        0.8505        0.7334  2.2508
    407        0.8445        0.7525  2.2452
    408        0.8461        0.7424  2.2457
    409        0.8578        0.7467  2.2469
    410        0.8574        0.7628  2.2464
    411        0.8464        0.7461  2.2528
    412        0.8484        0.7736  2.2428
    413        0.8527        0.8430  2.2492
    414        0.8460        0.7640  2.2452
    415        0.8464        0.7355  2.2495
    416        [36m0.8389[0m        0.7476  2.2457
    417        0.8452        0.8183  2.2477
    418        0.8463        0.7621  2.2514
    419        0.8415        0.8238  2.2508
    420        [36m0.8375[0m        0.7430  2.2459
    421        0.8481        0.7423  2.2451
    422        0.8489        [32m0.7252[0m  2.2480
    423        0.8483        0.7377  2.2482
    424        0.8446        0.7274  2.2461
    425        0.8640        0.7682  2.2464
    426        [36m0.8341[0m        0.7370  2.2450
    427        0.8386        0.7317  2.2479
    428        0.8368        0.7330  2.2546
    429        0.8461        0.7275  2.2460
    430        0.8443        0.7286  2.2370
    431        0.8359        0.7739  2.2448
    432        0.8557        0.7305  2.2531
    433        0.8543        0.7344  2.2432
    434        0.8551        0.7498  2.2467
    435        0.8471        0.7270  2.2451
    436        0.8402        0.7505  2.2429
    437        0.8411        0.7465  2.2422
    438        0.8482        0.7426  2.2448
    439        0.8431        0.7445  2.2475
    440        0.8355        0.7415  2.2520
    441        0.8406        0.7304  2.2470
    442        0.8407        0.7526  2.2466
    443        0.8504        [32m0.7240[0m  2.2473
    444        0.8391        0.7705  2.2437
    445        0.8527        0.7558  2.2457
    446        0.8365        0.7550  2.2452
    447        0.8516        0.7642  2.2521
    448        0.8391        0.7436  2.2470
    449        0.8384        0.7735  2.2476
    450        0.8508        0.7297  2.2456
    451        0.8465        [32m0.7202[0m  2.2489
    452        0.8503        0.7313  2.2460
    453        0.8401        0.7277  2.2413
    454        0.8387        0.7501  2.2454
    455        0.8440        0.7386  2.2476
    456        0.8443        0.7966  2.2555
    457        0.8437        0.7384  2.2507
    458        0.8416        0.7625  2.2487
    459        0.8398        0.7430  2.2458
    460        [36m0.8337[0m        0.7398  2.2501
    461        0.8403        0.7203  2.2468
    462        0.8488        0.7304  2.2468
    463        0.8378        [32m0.7159[0m  2.2390
    464        0.8465        0.7692  2.2477
    465        0.8420        0.7272  2.2549
    466        [36m0.8326[0m        0.8311  2.2445
    467        0.8510        0.7303  2.2458
    468        [36m0.8274[0m        0.7562  2.2439
    469        0.8501        0.8055  2.2419
    470        0.8371        0.9932  2.2498
    471        0.8341        0.7448  2.2445
    472        0.8451        0.7317  2.2480
    473        0.8429        0.7564  2.2491
    474        0.8409        0.7429  2.2468
    475        0.8292        0.7342  2.2451
    476        0.8307        0.8630  2.2451
    477        0.8350        0.7181  2.2459
    478        0.8390        0.7368  2.2474
    479        0.8429        0.7586  2.2425
    480        0.8456        [32m0.7151[0m  2.2483
    481        0.8523        0.7404  2.2436
    482        0.8367        0.8039  2.2467
    483        0.8313        0.7679  2.2451
    484        0.8490        0.7460  2.2552
    485        0.8293        0.7295  2.2521
    486        0.8393        0.7776  2.2503
    487        0.8409        0.7437  2.2458
    488        0.8394        0.7294  2.2452
    489        0.8327        0.7939  2.2467
    490        0.8370        0.7531  2.2492
    491        0.8391        0.7284  2.2490
    492        0.8365        0.7185  2.2470
    493        0.8430        0.7499  2.2438
    494        0.8344        0.7340  2.2449
    495        0.8392        0.7214  2.2519
    496        0.8300        0.7392  2.2441
    497        0.8321        [32m0.7041[0m  2.2479
    498        0.8424        0.8572  2.2466
    499        0.8326        0.8031  2.2466
    500        0.8377        0.8125  2.2441
    501        0.8340        0.7617  2.2491
    502        0.8276        1.0555  2.2534
    503        0.8363        0.7934  2.2458
    504        0.8478        0.7392  2.2460
    505        0.8342        0.7973  2.2444
    506        0.8462        0.8819  2.2429
    507        0.8307        0.7446  2.2476
    508        0.8386        0.7385  2.2470
    509        0.8285        0.7776  2.2405
    510        0.8309        0.7726  2.2423
    511        0.8330        0.7166  2.2458
    512        0.8290        0.8706  2.2512
    513        0.8359        0.7775  2.2531
    514        0.8327        0.7477  2.2448
    515        0.8296        0.7956  2.2471
    516        0.8352        0.7603  2.2475
    517        [36m0.8271[0m        0.7701  2.2449
    518        0.8322        0.8123  2.2422
    519        0.8425        0.7825  2.2494
    520        0.8295        0.7360  2.2460
    521        0.8368        0.7284  2.2460
    522        0.8486        0.7307  2.2490
    523        0.8436        0.7418  2.2488
    524        0.8362        0.7378  2.2475
    525        0.8290        0.7934  2.2526
    526        [36m0.8203[0m        0.8691  2.2448
    527        0.8279        0.7742  2.2459
    528        0.8344        0.7385  2.2428
    529        0.8292        0.7553  2.2470
    530        0.8362        0.7234  2.2474
    531        0.8247        0.7436  2.2446
    532        0.8309        0.7151  2.2455
    533        0.8259        0.7206  2.2472
    534        0.8318        0.7925  2.2458
    535        0.8378        0.7542  2.2445
    536        0.8411        0.8162  2.2468
    537        0.8285        0.7786  2.2479
    538        0.8226        0.7436  2.2471
    539        0.8351        0.7911  2.2445
    540        0.8391        0.7404  2.2462
    541        0.8263        0.7133  2.2500
    542        0.8277        0.7156  2.2484
    543        0.8329        0.8568  2.2474
    544        0.8236        0.8213  2.2414
    545        0.8286        0.7323  2.2463
    546        0.8286        0.7114  2.2431
    547        0.8434        0.7224  2.2515
    548        0.8226        0.7551  2.2499
    549        0.8351        0.7304  2.2464
    550        0.8320        0.8298  2.2439
    551        0.8319        0.7271  2.2480
    552        0.8367        0.7393  2.2484
    553        0.8272        0.7510  2.2455
    554        0.8225        0.7206  2.2435
    555        0.8212        0.8757  2.2531
    556        0.8250        1.1492  2.2459
    557        0.8420        0.7300  2.2465
    558        0.8314        1.0405  2.2482
    559        0.8272        0.7688  2.2473
    560        0.8288        0.8056  2.2411
    561        0.8300        0.7171  2.2451
    562        0.8287        0.7087  2.2425
    563        0.8292        0.7128  2.2439
    564        [36m0.8165[0m        0.7267  2.2481
    565        0.8310        0.7105  2.2450
    566        0.8314        [32m0.7027[0m  2.2479
    567        0.8270        0.7127  2.2427
    568        0.8304        0.7154  2.2452
    569        0.8256        0.7149  2.2598
    570        0.8278        0.7159  2.2495
    571        0.8276        0.7171  2.2438
    572        0.8349        0.7135  2.2451
    573        0.8363        0.7106  2.2508
    574        0.8257        0.7207  2.2428
    575        0.8401        0.7164  2.2486
    576        0.8262        0.7174  2.2427
    577        0.8220        0.7302  2.2527
    578        0.8300        0.7217  2.2456
    579        0.8301        0.7204  2.2456
    580        0.8227        0.7901  2.2493
    581        0.8193        0.7436  2.2392
    582        0.8355        0.7103  2.2513
    583        0.8307        0.7150  2.2483
    584        0.8303        0.7288  2.2526
    585        0.8272        0.7112  2.2491
    586        0.8333        0.7249  2.2537
    587        0.8177        0.7126  2.2430
    588        0.8298        0.7065  2.2408
    589        0.8251        0.7058  2.2533
    590        0.8257        0.7352  2.2489
    591        0.8282        0.7115  2.2450
    592        0.8420        0.7115  2.2484
    593        0.8295        0.7245  2.2497
    594        0.8375        0.7224  2.2438
    595        0.8322        0.7100  2.2471
    596        0.8261        0.7212  2.2500
    597        0.8462        0.7645  2.2568
    598        0.8333        0.7613  2.2484
    599        0.8262        0.7105  2.2460
    600        0.8362        0.8700  2.2463
    601        0.8235        0.7158  2.2473
    602        0.8288        0.8000  2.2434
    603        0.8458        0.8074  2.2426
    604        0.8216        0.7619  2.2505
    605        0.8188        0.7096  2.2460
    606        0.8229        0.7131  2.2482
    607        [36m0.8155[0m        0.7090  2.2453
    608        0.8229        0.7346  2.2492
    609        0.8288        0.7134  2.2462
    610        0.8221        0.7130  2.2484
    611        0.8158        0.7265  2.2428
    612        0.8310        0.7131  2.2522
    613        0.8244        0.7115  2.2438
    614        0.8250        0.7413  2.2396
    615        0.8236        0.7423  2.2389
    616        0.8213        0.7057  2.2430
    617        0.8238        0.7071  2.2451
    618        [36m0.8151[0m        0.7118  2.2449
    619        0.8228        0.7528  2.2392
    620        0.8198        0.7692  2.2429
    621        0.8258        0.7572  2.2465
    622        0.8274        0.7066  2.2427
    623        0.8212        0.8198  2.2446
    624        0.8313        0.7049  2.2381
    625        0.8308        0.7252  2.2538
    626        0.8281        0.8213  2.2459
    627        [36m0.8140[0m        0.7136  2.2419
    628        0.8258        0.8697  2.2447
    629        0.8261        0.7086  2.2460
    630        0.8297        0.7602  2.2398
    631        0.8322        0.7030  2.2420
    632        0.8232        0.7643  2.2400
    633        0.8170        [32m0.7022[0m  2.2501
    634        0.8238        0.7375  2.2414
    635        0.8223        [32m0.6990[0m  2.2412
    636        0.8219        0.7746  2.2401
    637        0.8271        [32m0.6968[0m  2.2403
    638        0.8274        0.7233  2.2438
    639        0.8200        0.7342  2.2446
    640        0.8177        0.7195  2.2402
    641        0.8242        0.7195  2.2432
    642        0.8167        0.7286  2.2423
    643        0.8212        0.7035  2.2447
    644        0.8257        0.7170  2.2473
    645        0.8212        0.7084  2.2418
    646        0.8451        0.7243  2.2381
    647        0.8309        0.7033  2.2488
    648        0.8194        0.7256  2.2423
    649        0.8302        0.7124  2.2461
    650        0.8220        0.7276  2.2400
    651        0.8162        0.9653  2.2402
    652        0.8261        0.7441  2.2438
    653        0.8244        0.7354  2.2501
    654        [36m0.8126[0m        0.7468  2.2440
    655        0.8149        0.7336  2.2374
    656        0.8234        0.9536  2.2447
    657        0.8242        0.7169  2.2429
    658        0.8196        0.8327  2.2417
    659        0.8243        0.8500  2.2420
    660        0.8219        0.8552  2.2460
    661        0.8214        0.7065  2.2415
    662        0.8192        0.7121  2.2383
    663        0.8199        0.7003  2.2400
    664        [36m0.8090[0m        0.7405  2.2422
    665        0.8169        0.7274  2.2414
    666        0.8223        0.7030  2.2433
    667        0.8194        0.7035  2.2359
    668        0.8169        [32m0.6951[0m  2.2418
    669        0.8219        0.7448  2.2418
    670        0.8273        [32m0.6940[0m  2.2497
    671        0.8222        0.7277  2.2400
    672        0.8107        0.7268  2.2408
    673        0.8318        0.6963  2.2373
    674        0.8218        0.6968  2.2410
    675        0.8176        [32m0.6906[0m  2.2420
    676        [36m0.8082[0m        0.7040  2.2412
    677        0.8192        0.6960  2.2441
    678        0.8324        0.7142  2.2414
    679        0.8201        0.7325  2.2446
    680        0.8230        0.7830  2.2422
    681        0.8244        0.7839  2.2491
    682        0.8265        0.7061  2.2422
    683        0.8286        0.7050  2.2430
    684        0.8335        0.7215  2.2417
    685        0.8222        0.7709  2.2447
    686        0.8124        0.7832  2.2440
    687        0.8105        1.0537  2.2412
    688        0.8160        1.5901  2.2440
    689        0.8163        1.2094  2.2389
    690        0.8249        0.9936  2.2396
    691        0.8172        1.2007  2.2417
