  epoch    mae_test_score    mae_train_score    mape_test_score    mape_train_score    r2_test_score    r2_train_score    train_loss    valid_loss     dur
    223            0.1834             0.0653          -106.0023            -27.5161        -132.6847            0.8801        0.0480        0.8373  1.1672
    224            0.1716             0.0651          -136.8907            -27.0991         -73.9908            [36m0.8816[0m        0.0479        0.8289  1.1704
    225            0.1855             0.0663          -115.0889            -26.9892        -218.8437            0.8801        0.0485        0.8494  1.1691
    226            0.1738             0.0677          -125.1398            -30.3671        -103.1063            0.8804        0.0497        0.8305  1.1683
    227            0.1767             0.0697          -116.8045            -29.4349         -93.1613            0.8782        0.0519        0.8322  1.1692
    228            0.1793             0.0676          -131.2540            -29.2253        -205.9423            0.8814        0.0495        0.8415  1.1711
    229            0.1757             0.0654          -119.6798            -27.0342         -73.7912            [36m0.8830[0m        0.0478        0.8338  1.1725
    230            0.1771             [32m0.0633[0m          -119.2063            -28.4140        -110.4254            [36m0.8861[0m        [32m0.0458[0m        0.8328  1.1694
    231            0.1804             [32m0.0627[0m          -109.5367            -25.3343        -127.2501            [36m0.8864[0m        [32m0.0456[0m        0.8370  1.1705
    232            0.1755             0.0636          -129.8556            -25.4091        -102.2015            [36m0.8864[0m        0.0468        0.8328  1.1692
    233            0.1801             0.0651          -118.2897            -27.2460        -100.4455            0.8863        0.0478        0.8364  1.1683
    234            0.1769             0.0637          -114.2271            -27.8840         -94.5044            [36m0.8881[0m        0.0456        0.8339  1.1699
    235            0.1780             [32m0.0619[0m          -129.5296            -27.1844        -131.9780            [36m0.8900[0m        [32m0.0443[0m        0.8361  1.1686
    236            0.1737             0.0626           -92.3779            -28.2980         -75.8930            0.8899        0.0448        0.8285  1.1683
    237            0.1795             0.0631          -132.6785            -27.2728        -122.2037            [36m0.8905[0m        0.0451        0.8354  1.1685
    238            0.1765             0.0634          -100.3151            -26.7917         -76.9898            0.8898        0.0455        0.8311  1.1695
    239            0.1802             [32m0.0616[0m          -131.1992            -26.4720        -172.7830            [36m0.8922[0m        [32m0.0438[0m        0.8400  1.1701
    240            0.1713             0.0632          -114.7715            -23.9363         -68.6755            0.8913        0.0450        0.8272  1.1685
    241            0.1802             0.0618          -126.2532            -25.6494        -121.5217            0.8911        [32m0.0434[0m        0.8358  1.1681
    242            0.1798             0.0639          -106.8550            -25.5300        -113.6579            0.8894        0.0454        0.8357  1.1653
    243            0.1757             0.0646          -130.7006            -29.1260         -76.4282            0.8900        0.0456        0.8315  1.1717
    244            0.1808             0.0644          -119.5811            -24.9391        -120.8725            0.8899        0.0460        0.8349  1.1720
    245            0.1730             0.0660          -103.1360            -29.8347         -96.2486            0.8898        0.0471        0.8314  1.1729
    246            0.1821             0.0643          -127.5658            -23.2524        -120.1138            0.8916        0.0462        0.8370  1.1761
    247            0.1787             0.0644          -124.5539            -25.6138        -104.0865            0.8914        0.0457        0.8341  1.1728
    248            0.1765             0.0626          -130.0038            -24.9527        -105.7367            [36m0.8948[0m        0.0440        0.8327  1.1721
    249            0.1769             0.0629          -121.1194            -24.8187         -96.5444            [36m0.8953[0m        0.0439        0.8316  1.1751
    250            0.1761             0.0618          -117.0452            -26.6462        -101.6200            [36m0.8970[0m        [32m0.0431[0m        0.8310  1.1758
    251            0.1802             [32m0.0606[0m          -121.4495            -24.7073        -120.4120            [36m0.8984[0m        [32m0.0426[0m        0.8370  1.1750
    252            0.1747             [32m0.0597[0m          -128.3647            -26.2767         -77.1495            [36m0.9003[0m        [32m0.0416[0m        0.8298  1.1688
    253            0.1789             0.0599           -99.5091            -26.7685        -203.0078            0.8997        0.0422        0.8406  1.1721
    254            0.1767             0.0599          -123.7197            -25.2142         -84.6737            [36m0.9011[0m        0.0423        0.8320  1.1724
    255            0.1838             0.0602          -126.1738            -23.8035        -356.9025            0.9002        0.0425        0.8572  1.1749
    256            0.1761             [32m0.0593[0m          -117.3351            -25.1753         -88.8839            [36m0.9018[0m        0.0421        0.8303  1.1677
    257            0.1780             0.0597          -125.1637            -26.1362        -281.4356            [36m0.9024[0m        0.0423        0.8476  1.1738
    258            0.1775             0.0596          -105.8518            -22.9524         -89.3927            [36m0.9041[0m        [32m0.0415[0m        0.8321  1.1749
    259            0.1785             0.0624          -125.2842            -26.1403        -187.2760            0.9023        0.0426        0.8407  1.1717
    260            0.1794             0.0620          -116.6252            -25.9972         -94.3342            0.9029        0.0423        0.8344  1.1683
    261            0.1758             0.0599          -118.5394            -28.4472         -85.9672            [36m0.9058[0m        [32m0.0412[0m        0.8309  1.1737
    262            0.1837             0.0596          -131.4881            -21.6833        -158.1912            [36m0.9068[0m        [32m0.0410[0m        0.8396  1.1753
    263            0.1753             0.0596          -125.3398            -28.5783        -127.1365            [36m0.9069[0m        0.0414        0.8336  1.1721
    264            0.1786             0.0618          -109.5871            -24.3433         -73.3749            0.9050        0.0431        0.8312  1.1710
    265            0.1828             0.0634          -138.8141            -28.5049        -357.7921            0.9058        0.0440        0.8559  1.1733
    266            0.1747             0.0617          -113.6165            -24.9913         -80.1761            0.9069        0.0424        0.8302  1.1671
    267            0.1783             0.0595          -131.2205            -28.0545        -121.3627            [36m0.9108[0m        [32m0.0409[0m        0.8347  1.1742
    268            0.1794             [32m0.0590[0m          -105.0448            -24.7746        -124.1390            0.9102        0.0413        0.8366  1.1781
    269            0.1764             [32m0.0580[0m          -131.7200            -26.4797         -93.5245            [36m0.9128[0m        [32m0.0399[0m        0.8316  1.1732
    270            0.1811             [32m0.0559[0m          -114.7657            -24.4034        -162.8573            [36m0.9141[0m        [32m0.0391[0m        0.8393  1.1674
    271            0.1771             [32m0.0558[0m          -129.0560            -26.0222        -111.1153            [36m0.9162[0m        [32m0.0386[0m        0.8326  1.1741
    272            0.1788             0.0573          -109.9316            -24.6012        -147.9366            0.9161        0.0391        0.8370  1.1764
    273            0.1823             0.0586          -129.2021            -24.2296        -102.2686            [36m0.9169[0m        0.0394        0.8355  1.1744
    274            0.1799             0.0588          -107.0877            -28.9583        -199.3527            0.9165        0.0398        0.8408  1.1746
    275            0.1774             0.0587          -133.4492            -24.4909        -124.1273            [36m0.9170[0m        0.0402        0.8343  1.1756
    276            0.1781             0.0598           -97.8188            -25.3000         -87.0356            0.9154        0.0413        0.8312  1.1765
    277            0.1804             0.0599          -122.3416            -26.0319        -213.7902            [36m0.9180[0m        0.0404        0.8429  1.1768
    278            0.1805             0.0590          -121.0083            -24.1669        -201.5329            0.9175        0.0401        0.8439  1.1751
    279            0.1759             0.0597          -129.4550            -24.4126         -85.0798            [36m0.9192[0m        0.0400        0.8304  1.1768
    280            0.1819             0.0593          -108.2725            -24.1816        -385.6205            [36m0.9201[0m        0.0395        0.8584  1.1788
    281            0.1755             0.0594          -108.7413            -25.7073         -92.0885            [36m0.9218[0m        0.0391        0.8294  1.1797
    282            0.1864             0.0580          -135.5721            -23.3355        -521.6465            0.9214        0.0389        0.8733  1.1727
    283            0.1771             0.0575          -119.4252            -24.7925        -111.4080            [36m0.9234[0m        [32m0.0384[0m        0.8318  1.1775
    284            0.1775             0.0578          -112.9148            -24.4306        -122.0216            [36m0.9246[0m        [32m0.0384[0m        0.8346  1.1772
    285            0.1818             0.0580          -126.6506            -23.6081        -163.3841            0.9244        0.0387        0.8398  1.1794
    286            0.1754             0.0594          -108.2999            -27.5790         -89.7643            0.9237        0.0391        0.8311  1.1723
    287            0.1805             0.0589          -132.1123            -21.8241        -283.7275            0.9244        0.0394        0.8494  1.1743
    288            0.1797             0.0594          -119.2526            -26.4600         -92.8434            [36m0.9264[0m        0.0391        0.8321  1.1762
    289            0.1752             0.0583          -112.1578            -25.6079        -140.4756            [36m0.9277[0m        0.0385        0.8348  1.1757
    290            0.1855             0.0579          -137.1427            -22.5906        -264.1623            [36m0.9290[0m        [32m0.0376[0m        0.8495  1.1732
    291            0.1758             0.0561          -111.9224            -23.4482        -103.8646            [36m0.9303[0m        [32m0.0369[0m        0.8329  1.1740
    292            0.1807             [32m0.0552[0m          -122.4845            -23.2971        -181.8504            [36m0.9306[0m        [32m0.0364[0m        0.8408  1.1776
    293            0.1783             0.0559          -126.4585            [31m-20.4740[0m        -129.6883            0.9295        0.0372        0.8333  1.1714
    294            0.1754             0.0589          -111.2140            -25.0942        -151.7230            [36m0.9310[0m        0.0385        0.8358  1.1756
    295            0.1843             0.0601          -126.2467            -22.4921        -134.8416            0.9291        0.0397        0.8390  1.1728
    296            0.1764             0.0591          -121.0549            -25.3977         -78.0436            [36m0.9311[0m        0.0379        0.8309  1.1749
    297            0.1804             0.0564          -117.7948            -21.2700        -240.3754            [36m0.9328[0m        0.0370        0.8452  1.1741
    298            0.1750             0.0565          -123.8322            -23.5324         -91.7061            [36m0.9336[0m        0.0372        0.8298  1.1768
    299            0.1789             0.0565          -107.8993            -24.3721        -179.2425            [36m0.9345[0m        0.0368        0.8371  1.1739
    300            0.1839             0.0553          -136.1618            -22.2927        -200.8132            [36m0.9362[0m        [32m0.0361[0m        0.8443  1.1763
    301            0.1778             0.0565          -113.3246            -22.9998         -97.3811            0.9358        0.0371        0.8309  1.1740
    302            0.1767             0.0562          -126.2873            -22.7472        -183.8214            [36m0.9368[0m        0.0367        0.8395  1.1812
    303            0.1800             0.0562          -106.9518            -25.3785        -119.2265            [36m0.9368[0m        0.0365        0.8344  1.1789
    304            0.1785             0.0566          -116.3781            -28.1197        -303.6843            [36m0.9380[0m        0.0365        0.8493  1.1779
    305            0.1817             0.0564          -133.8788            [31m-18.6064[0m         -92.9736            0.9378        0.0364        0.8369  1.1733
    306            0.1728             0.0584          -126.8020            -24.0139        -106.2690            0.9363        0.0370        0.8305  1.1760
    307            0.1835             0.0575          -101.3467            -24.6732        -356.2121            [36m0.9388[0m        0.0363        0.8553  1.1764
    308            0.1776             0.0563          -125.3234            -22.4819        -102.8231            0.9387        0.0361        0.8330  1.1745
    309            0.1800             0.0570          -128.4196            -23.9652        -182.5989            [36m0.9399[0m        0.0361        0.8389  1.1713
    310            0.1803             0.0577          -129.6434            -21.0489        -338.6914            [36m0.9400[0m        0.0368        0.8537  1.1735
    311            0.1756             0.0586          -106.1335            -23.1446         -87.6277            [36m0.9407[0m        0.0376        0.8287  1.1703
    312            0.1828             0.0579          -134.5081            -21.3810        -558.3207            [36m0.9407[0m        0.0370        0.8722  1.1770
    313            0.1746             0.0561          -117.6188            -24.4288         -81.4546            [36m0.9417[0m        [32m0.0355[0m        0.8282  1.1756
    314            0.1793             [32m0.0534[0m          -120.2736            -21.4404        -279.9470            [36m0.9436[0m        [32m0.0341[0m        0.8474  1.1756
    315            0.1790             [32m0.0518[0m          -103.1694            -24.5731        -178.5268            [36m0.9448[0m        [32m0.0335[0m        0.8383  1.1722
    316            0.1793             0.0522          -136.9557            [31m-18.3998[0m        -136.7304            [36m0.9466[0m        0.0335        0.8354  1.1756
    317            0.1793             [32m0.0514[0m          -125.5254            -21.8607        -264.3254            [36m0.9475[0m        [32m0.0334[0m        0.8469  1.1732
    318            0.1798             [32m0.0499[0m          -128.0184            -18.9391         -91.8940            [36m0.9482[0m        [32m0.0328[0m        0.8321  1.1753
    319            0.1819             0.0502          -114.6722            -23.2683        -334.8913            [36m0.9496[0m        [32m0.0324[0m        0.8525  1.1752
    320            0.1790             0.0525          -118.0595            -19.7370        -107.4023            0.9488        0.0336        0.8337  1.1750
    321            0.1789             0.0559          -114.5384            -23.4015        -229.6460            0.9479        0.0351        0.8410  1.1755
    322            0.1793             0.0574          -138.5321            -20.4078        -117.0302            0.9472        0.0363        0.8375  1.1779
    323            0.1789             0.0554          -105.0190            -24.5443        -112.2196            0.9476        0.0347        0.8324  1.1744
    324            0.1807             0.0547          -119.0644            -21.4368        -404.5110            0.9491        0.0347        0.8589  1.1758
    325            0.1753             0.0549          -127.9749            -22.5644         -97.3282            0.9493        0.0343        0.8304  1.1791
    326            0.1843             0.0566          -141.0457            -22.8081        -394.1587            [36m0.9500[0m        0.0342        0.8603  1.1715
    327            0.1728             0.0587           -76.4247            -26.0869         -70.8782            0.9479        0.0358        0.8280  1.1740
    328            0.1810             0.0590          -148.4463            -19.7704        -205.0236            0.9482        0.0365        0.8415  1.1753
    329            0.1756             0.0583          -109.6570            -25.9262        -136.4337            0.9489        0.0354        0.8356  1.1739
    330            0.1807             0.0556          -127.1168            -22.1471        -236.5920            [36m0.9507[0m        0.0337        0.8433  1.1749
    331            0.1790             0.0525          -112.9331            -22.5061        -191.1229            [36m0.9524[0m        [32m0.0323[0m        0.8404  1.1745
    332            0.1788             0.0528          -134.1606            [31m-18.1237[0m        -115.4709            [36m0.9530[0m        [32m0.0323[0m        0.8333  1.1730
    333            0.1787             0.0563          -102.6486            -21.1676        -302.9409            0.9520        0.0343        0.8499  1.1757
    334            0.1760             0.0567          -128.4313            -20.9914        -143.3853            0.9514        0.0348        0.8338  1.1728
    335            0.1810             0.0586          -104.4255            -21.5825        -243.7622            0.9505        0.0352        0.8450  1.1750
    336            0.1795             0.0573          -143.5814            -19.7826        -161.7341            0.9508        0.0357        0.8364  1.1785
    337            0.1768             0.0579          -111.6794            -21.4854         -79.4817            0.9521        0.0340        0.8320  1.1707
    338            0.1816             0.0556          -118.9431            -22.4603        -449.0999            0.9530        0.0334        0.8609  1.1737
    339            0.1760             0.0536          -110.4050            -19.3570         -62.9841            [36m0.9553[0m        0.0329        0.8289  1.1744
    340            0.1811             0.0528          -142.7737            -21.6973        -261.7653            [36m0.9558[0m        [32m0.0315[0m        0.8473  1.1806
    341            0.1798             0.0529          -107.3698            -20.1634        -322.8194            [36m0.9567[0m        0.0323        0.8507  1.1740
    342            0.1764             0.0527          -134.8389            -23.0913         -91.9403            0.9565        0.0329        0.8312  1.1771
    343            0.1771             0.0529          -106.2323            -21.6761        -106.0724            [36m0.9577[0m        0.0324        0.8313  1.1762
    344            0.1789             0.0514          -130.8198            -22.9712        -385.6009            0.9575        0.0317        0.8565  1.1727
    345            0.1790             0.0513          -120.2158            -18.5846         -84.3968            [36m0.9588[0m        0.0317        0.8332  1.1721
    346            0.1821             0.0530          -127.4977            -21.9999        -564.3542            0.9578        0.0323        0.8709  1.1716
    347            0.1758             0.0541          -111.4395            -19.7981         -78.1723            0.9582        0.0326        0.8311  1.1732
    348            0.1830             0.0536          -143.4848            -22.4199        -408.3982            0.9587        0.0320        0.8591  1.1787
    349            0.1774             0.0532          -105.6503            -19.4711        -156.4204            0.9586        0.0323        0.8377  1.1795
    350            0.1798             0.0534          -128.3623            -21.0947         -98.8763            0.9587        0.0324        0.8323  1.1747
    351            0.1790             0.0520          -121.1159            -19.8196        -571.6674            [36m0.9599[0m        0.0316        0.8715  1.1742
    352            0.1785             0.0534          -122.1077            -19.2010         -80.2778            0.9595        0.0315        0.8358  1.1777
    353            0.1791             0.0541          -126.8478            -23.1337        -418.2067            [36m0.9600[0m        [32m0.0312[0m        0.8581  1.1727
    354            0.1791             0.0540          -122.2386            -19.7536        -167.8108            0.9596        0.0318        0.8369  1.1745
    355            0.1795             0.0540          -113.1945            -21.8871        -148.0349            [36m0.9600[0m        0.0324        0.8367  1.1762
    356            0.1777             0.0531          -136.5038            -21.3269        -182.1811            [36m0.9606[0m        0.0316        0.8388  1.1744
    357            0.1815             0.0540          -109.6517            [31m-16.6273[0m         -92.0840            0.9596        0.0324        0.8361  1.1759
    358            0.1789             0.0590          -113.2856            -23.5486        -303.3708            0.9549        0.0362        0.8504  1.1724
    359            0.1773             0.0632          -120.3136            -22.0740        -299.8213            0.9499        0.0388        0.8489  1.1768
    360            0.1748             0.0573          -120.4127            -22.0207         -89.9474            0.9581        0.0320        0.8295  1.1746
    361            0.1794             0.0539          -120.9169            -22.4759        -235.6879            [36m0.9612[0m        [32m0.0305[0m        0.8435  1.1748
    362            0.1772             0.0521          -120.8704            -20.0691         -91.8287            [36m0.9626[0m        [32m0.0301[0m        0.8336  1.1744
    363            0.1733             0.0512          -116.6363            -20.0037        -174.3986            [36m0.9627[0m        0.0303        0.8350  1.1736
    364            0.1802             0.0509          -131.4533            -19.8505        -278.0377            [36m0.9635[0m        0.0301        0.8488  1.1780
    365            0.1751             0.0504          -105.7225            -20.8124        -107.8979            0.9627        0.0309        0.8319  1.1736
    366            0.1811             0.0522          -132.9106            -24.1728        -287.9341            0.9630        0.0311        0.8485  1.1693
    367            0.1788             0.0527          -107.4130            -18.0992         -91.5331            0.9627        0.0315        0.8335  1.1762
    368            0.1769             0.0513          -118.3825            -22.0223        -391.6977            [36m0.9637[0m        0.0306        0.8553  1.1735
    369            0.1793             0.0504          -140.6765            -17.9198         -93.7398            [36m0.9641[0m        0.0302        0.8357  1.1764
    370            0.1760             [32m0.0499[0m          -110.8585            -23.2092        -251.1595            [36m0.9650[0m        [32m0.0292[0m        0.8424  1.1737
    371            0.1786             0.0509          -123.7279            -18.4624        -185.4125            [36m0.9650[0m        0.0298        0.8385  1.1720
    372            0.1733             0.0523          -114.3420            -22.8848        -103.6351            0.9642        0.0304        0.8286  1.1753
    373            0.1800             0.0523          -116.3411            -22.0123        -354.5058            0.9643        0.0308        0.8550  1.1715
    374            0.1761             0.0529          -125.8658            -21.0054        -191.6838            0.9632        0.0320        0.8395  1.1695
    375            0.1786             0.0535          -130.7238            -22.0807        -111.9196            0.9642        0.0307        0.8339  1.1765
    376            0.1756             0.0503          -108.5213            -22.0269        -366.3228            [36m0.9658[0m        [32m0.0291[0m        0.8511  1.1757
    377            0.1745             [32m0.0492[0m          -117.8133            -19.0490         -82.1480            [36m0.9660[0m        0.0292        0.8301  1.1739
    378            0.1835             0.0498          -125.4305            -20.6600        -484.9686            0.9660        0.0293        0.8652  1.1752
    379            0.1815             0.0521          -142.5200            -20.4081        -101.0771            0.9654        0.0300        0.8339  1.1749
    380            0.1738             0.0538           -99.9025            -22.2203        -173.2598            0.9640        0.0310        0.8361  1.1739
    381            0.1778             0.0555          -112.6903            -20.4471        -108.4138            0.9627        0.0320        0.8315  1.1761
    382            0.1758             0.0563          -114.1309            -20.6703        -339.2742            0.9622        0.0322        0.8524  1.1747
    383            0.1853             0.0556          -138.7312            -23.1898        -117.5450            0.9627        0.0314        0.8382  1.1770
    384            0.1764             0.0574          -111.5785            -22.1261        -526.1990            0.9617        0.0308        0.8692  1.1759
    385            0.1775             0.0543          -126.6036            -21.5644        -144.1947            0.9640        0.0306        0.8338  1.1725
    386            0.1705             0.0548           -98.1995            -20.2093        -153.3865            0.9643        0.0314        0.8321  1.1691
    387            0.1769             0.0530          -127.9698            -17.8027        -239.6978            0.9654        0.0300        0.8424  1.1714
    388            0.1734             0.0513          -104.6665            -20.1399        -104.9924            [36m0.9666[0m        0.0294        0.8312  1.1754
    389            0.1761             0.0501          -131.7451            -18.9413        -190.9718            [36m0.9673[0m        [32m0.0290[0m        0.8381  1.1741
    390            0.1770             0.0505          -112.0395            -18.2162        -155.3961            [36m0.9678[0m        [32m0.0287[0m        0.8368  1.1768
    391            0.1707             [32m0.0491[0m          -123.0241            -19.7093        -387.3410            [36m0.9679[0m        0.0288        0.8538  1.1759
    392            0.1785             0.0505           -92.6811            -18.4539        -100.6361            0.9675        0.0294        0.8316  1.1737
    393            0.1764             0.0505          -139.6236            -20.2191        -621.7828            [36m0.9680[0m        [32m0.0284[0m        0.8752  1.1771
    394            0.1760             0.0494          -131.9420            -17.9131         -92.3832            [36m0.9689[0m        [32m0.0282[0m        0.8308  1.1756
    395            0.1771             [32m0.0482[0m          -119.5252            -18.9695        -433.1657            [36m0.9691[0m        [32m0.0274[0m        0.8578  1.1735
    396            0.1699             0.0492           -95.3875            -18.9815         -82.3148            0.9690        0.0286        0.8273  1.1756
    397            0.1836             0.0521          -136.0708            -20.7029        -479.1288            0.9674        0.0293        0.8649  1.1653
    398            0.1726             0.0526           -97.6874            -22.8379         -77.5218            0.9677        0.0295        0.8291  1.1675
    399            0.1764             0.0512          -129.5319            -23.5855        -639.2600            0.9671        0.0292        0.8755  1.1675
    400            0.1741             0.0511          -116.1918            -18.5432         -96.4130            0.9678        0.0295        0.8303  1.1625
    401            0.1756             0.0497          -126.7463            -20.3358        -376.1856            0.9684        0.0283        0.8545  1.1634
    402            0.1805             0.0499          -107.0527            -18.5469         -96.6313            0.9682        0.0286        0.8324  1.1710
    403            0.1738             0.0517          -129.9390            -21.1755        -482.7688            0.9669        0.0288        0.8643  1.1653
    404            0.1744             0.0511          -103.3831            -18.2434         -87.8776            0.9673        0.0281        0.8281  1.1659
    405            0.1755             0.0536          -127.2580            -19.3691        -615.8146            0.9662        0.0292        0.8717  1.1667
    406            0.1740             0.0549           -97.8754            -21.7757         -91.7598            0.9654        0.0295        0.8306  1.1672
    407            0.1792             0.0548          -127.6366            -21.1288        -285.2266            0.9648        0.0297        0.8471  1.1669
    408            0.1756             0.0540          -125.0285            -20.2246        -146.6635            0.9654        0.0302        0.8350  1.1673
    409            0.1755             0.0508           -98.2452            -23.1247        -270.6693            0.9677        0.0283        0.8433  1.1637
    410            0.1698             0.0510          -104.9467            -17.5576        -127.4141            0.9689        0.0286        0.8303  1.1654
    411            0.1789             0.0502          -128.8068            -21.3087        -100.5370            [36m0.9692[0m        0.0277        0.8359  1.1695
    412            0.1724             0.0509          -107.5411            -21.4663        -163.4738            [36m0.9694[0m        0.0283        0.8332  1.1688
    413            0.1731             0.0519          -117.8982            -20.9020        -129.6585            0.9687        0.0295        0.8330  1.1660
    414            0.1720             0.0530           -92.7703            -20.2754         -75.3973            0.9682        0.0296        0.8266  1.1693
    415            0.1750             0.0523          -125.6409            -23.2687        -452.9544            0.9683        0.0297        0.8602  1.1691
    416            0.1782             0.0516          -109.6833            -19.4138        -142.9355            0.9676        0.0307        0.8379  1.1681
    417            0.1723             0.0521          -103.4855            -22.1071        -266.5791            0.9689        0.0287        0.8424  1.1650
    418            0.1771             0.0500          -113.5599            -21.2547        -846.8495            [36m0.9696[0m        0.0279        0.8946  1.1663
    419            0.1741             0.0494           -96.4265            -18.2143         -91.1971            [36m0.9699[0m        0.0276        0.8276  1.1669
    420            0.1757             0.0497          -124.7588            -22.9264        -423.4827            [36m0.9701[0m        [32m0.0274[0m        0.8579  1.1641
    421            0.1752             0.0504          -103.6837            -19.4183         -87.8517            0.9695        0.0279        0.8308  1.1633
    422            0.1729             0.0517          -107.8154            -23.5621        -662.9939            0.9689        0.0280        0.8763  1.1662
    423            0.1727             0.0522          -103.6776            [31m-16.0710[0m        -112.5334            0.9680        0.0285        0.8317  1.1655
    424            0.1756             0.0526          -125.9050            -22.3274        -248.8420            0.9677        0.0284        0.8412  1.1591
    425            0.1739             0.0504          -109.0216            -17.0084        -200.3181            0.9697        [32m0.0268[0m        0.8398  1.1728
    426            0.1738             0.0493           -97.1915            -17.2681        -182.5640            [36m0.9705[0m        [32m0.0263[0m        0.8339  1.1672
    427            0.1713             0.0490          -112.5542            -20.4844        -421.1925            [36m0.9710[0m        0.0267        0.8562  1.1717
    428            0.1821             0.0508          -121.9469            -18.9058        -150.0110            0.9696        0.0283        0.8366  1.1689
    429            0.1686             0.0516          -100.4611            -22.2162        -228.4433            0.9702        0.0275        0.8385  1.1630
    430            0.1734             0.0504          -106.6379            -22.1914        -197.6682            0.9709        0.0268        0.8368  1.1651
    431            0.1724             0.0510          -107.9888            -20.8347        -237.1883            0.9694        0.0282        0.8402  1.1661
    432            0.1752             0.0550          -118.0372            -24.8906        -149.0300            0.9681        0.0288        0.8361  1.1645
    433            0.1747             0.0531          -109.1456            -21.8774        -221.3302            0.9685        0.0284        0.8418  1.1622
    434            0.1720             0.0506          -114.6217            -21.7301        -561.5788            0.9699        0.0270        0.8663  1.1705
    435            0.1733             0.0496           -89.9827            -20.6113        -239.2719            0.9707        0.0269        0.8416  1.1638
    436            0.1756             0.0492          -111.3843            -20.1194        -276.1456            [36m0.9713[0m        0.0269        0.8440  1.1703
    437            0.1746             0.0500          -126.4502            -19.2039        -266.6223            0.9709        0.0278        0.8483  1.1638
    438            0.1786             0.0518          -110.1962            -20.4035        -170.7653            0.9699        0.0282        0.8337  1.1653
    439            0.1674             0.0532           -99.3724            -22.3168        -537.5747            0.9691        0.0300        0.8654  1.1710
    440            0.1796             0.0516          -109.9857            -18.5882        -182.3773            0.9698        0.0284        0.8373  1.1612
    441            0.1701             0.0515          -114.7389            -21.7861        -669.7239            0.9706        0.0278        0.8758  1.1685
    442            0.1722             0.0496          -104.2538            -19.9064        -161.6240            [36m0.9714[0m        0.0272        0.8330  1.1655
    443            0.1727             0.0488          -109.5876            -19.9854        -225.7768            [36m0.9725[0m        [32m0.0258[0m        0.8387  1.1661
    444            0.1703             [32m0.0469[0m          -109.5020            -21.6499        -640.2070            [36m0.9729[0m        [32m0.0253[0m        0.8722  1.1675
    445            0.1777             0.0474          -118.3556            -17.4296        -110.7986            0.9728        0.0258        0.8341  1.1654
    446            0.1706             0.0492          -100.1046            -20.0122        -731.0189            0.9720        0.0262        0.8810  1.1679
    447            0.1730             0.0499          -109.8403            -21.1176        -104.0146            0.9719        0.0266        0.8286  1.1655
    448            0.1711             0.0510          -101.5459            -22.2281        -579.6042            0.9712        0.0273        0.8682  1.1679
    449            0.1744             0.0521          -113.1519            -22.4115        -262.8349            0.9706        0.0278        0.8414  1.1694
    450            0.1738             0.0522          -101.6048            -21.4466        -116.3006            0.9696        0.0286        0.8335  1.1626
    451            0.1696             0.0507          -108.5725            -22.5520        -378.2551            0.9706        0.0270        0.8498  1.1645
    452            0.1740             0.0496           -95.3099            -19.5299        -234.7453            0.9705        0.0268        0.8437  1.1675
    453            0.1742             0.0475          -122.9087            -20.1937        -238.5955            0.9723        [32m0.0252[0m        0.8397  1.1686
    454            0.1732             0.0480          -122.5181            -20.0358        -276.4442            [36m0.9730[0m        0.0253        0.8453  1.1710
    455            0.1766             0.0486          -103.8294            -18.6281        -201.0083            0.9729        0.0254        0.8357  1.1642
    456            0.1687             0.0512           -94.6278            -20.9454        -412.6657            0.9720        0.0270        0.8557  1.1732
    457            0.1849             0.0521          -111.7205            -18.9933        -145.9186            0.9704        0.0284        0.8366  1.1666
    458            0.1706             0.0519          -112.7369            -21.6232        -691.4444            0.9711        0.0273        0.8777  1.1652
    459            0.1734             0.0492          -104.3733            -18.8868         -83.2122            0.9716        0.0267        0.8290  1.1704
    460            0.1709             0.0500          -100.1964            -20.6272        -450.8641            0.9722        0.0271        0.8569  1.1671
    461            0.1715             0.0503          -115.2930            -20.1291         -85.6135            0.9718        0.0270        0.8291  1.1700
    462            0.1793             0.0501          -115.6946            -19.5371        -562.7098            0.9722        0.0265        0.8692  1.1664
    463            0.1652             0.0504          -100.5672            -20.8682        -422.5689            0.9717        0.0269        0.8546  1.1638
    464            0.1777             0.0495          -101.6818            -18.9521        -118.5632            0.9716        0.0268        0.8305  1.1653
    465            0.1677             0.0496          -107.8590            -19.8208        -520.3110            0.9720        0.0263        0.8627  1.1637
    466            0.1732             0.0490          -113.2105            -20.9283        -103.5165            0.9670        0.0258        0.8287  1.1685
    467            0.1723             0.0481          -107.2945            -20.4045        -456.5160            0.9715        0.0255        0.8600  1.1613
    468            0.1708             0.0502           -96.1444            -21.3789        -157.5003            0.9714        0.0262        0.8333  1.1691
    469            0.1730             0.0510          -106.6427            -20.5199        -177.2888            0.9700        0.0265        0.8379  1.1680
    470            0.1719             0.0488          -104.4203            -18.7302        -144.4466            0.9718        0.0257        0.8312  1.1685
    471            0.1740             0.0482          -121.1557            -19.5326        -476.2593            0.9727        0.0255        0.8627  1.1650
    472            0.1706             0.0475           -91.2130            -19.8844         -91.2015            [36m0.9736[0m        [32m0.0245[0m        0.8266  1.1656
    473            0.1694             0.0482          -115.5693            -22.7079        -423.0683            0.9733        0.0252        0.8548  1.1679
    474            0.1736             0.0523           -83.7291            [31m-15.6770[0m        -199.0073            0.9693        0.0271        0.8386  1.1720
